stratum,time_diff,cif,lower,upper
Rural,0,0,,
Rural,17,0.000308642,0.000033588,0.001759220
Rural,18,0.000617284,0.000134453,0.002183886
Rural,19,0.000925926,0.000271184,0.002631148
Rural,22,0.001234568,0.000429959,0.003070939
Urban,14,0.000085575,0.000045090,0.000155883
Urban,15,0.000128366,0.000076271,0.000209955
Urban,16,0.000265296,0.000185164,0.000374430
Urban,17,0.000907156,0.000748015,0.001094481
Urban,18,0.001326511,0.001131275,0.001549641
Urban,19,0.001420654,0.001218141,0.001651004
Urban,20,0.001454888,0.001249789,0.001687804
Urban,21,0.001497681,0.001289392,0.001733763
Urban,22,0.002481925,0.002209962,0.002781222
